"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－身體評估評估欄位對應"
"HNBodyEvaluationsModel","HNBodyEvaluationsModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－身體評估評估邏輯模型","描述居家護理身體評估評估的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.extension","HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.answer","HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-b42a51b1139e","",,,,"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q7b3136eb').item.where(linkId='BodyQuestions.q7b3136eb.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q7b3136eb').item.where(linkId='BodyQuestions.q7b3136eb.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.other","HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q7b3136eb').item.where(linkId='BodyQuestions.q7b3136eb.Other')"
"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43","HNBodyEvaluationsModel.bodyQuestions.qc0a49d43","","","",1,1,"","","","BackboneElement {[]} {[]}
","腸蠕動","腸蠕動","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qc0a49d43')"
"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.id","HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.extension","HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.answer","HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-3d4ed1f2575b","",,,,"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qc0a49d43').item.where(linkId='BodyQuestions.qc0a49d43.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qc0a49d43').item.where(linkId='BodyQuestions.qc0a49d43.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.other","HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qc0a49d43.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qc0a49d43').item.where(linkId='BodyQuestions.qc0a49d43.Other')"
"HNBodyEvaluationsModel.bodyQuestions.qd49ab702","HNBodyEvaluationsModel.bodyQuestions.qd49ab702","","","",1,1,"","","","BackboneElement {[]} {[]}
","消化狀態","消化狀態","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qd49ab702",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qd49ab702')"
"HNBodyEvaluationsModel.bodyQuestions.qd49ab702.id","HNBodyEvaluationsModel.bodyQuestions.qd49ab702.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.qd49ab702.extension","HNBodyEvaluationsModel.bodyQuestions.qd49ab702.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
